Year,States,Rate
2011,New South Wales,4
2011,Victoria,4.3
2011,Queensland,6.2
2011,South Australia,5.5
2011,Western Australia,6.7
2011,Tasmania,8.9
2011,Northern Territory,4.7
2011,Australian Capital Territory,4.4
2012,New South Wales,5.3
2012,Victoria,4.3
2012,Queensland,6.8
2012,South Australia,5.7
2012,Western Australia,7.9
2012,Tasmania,5.4
2012,Northern Territory,5.5
2012,Australian Capital Territory,3.1
2013,New South Wales,5.1
2013,Victoria,4.5
2013,Queensland,6.7
2013,South Australia,6
2013,Western Australia,6.8
2013,Tasmania,7.4
2013,Northern Territory,8.4
2013,Australian Capital Territory,3.9
2014,New South Wales,5.5
2014,Victoria,4.9
2014,Queensland,6.7
2014,South Australia,6.6
2014,Western Australia,7.2
2014,Tasmania,4.7
2014,Northern Territory,18.7
2014,Australian Capital Territory,4
2015,New South Wales,5.3
2015,Victoria,5.3
2015,Queensland,7.5
2015,South Australia,7.5
2015,Western Australia,8.4
2015,Tasmania,6.9
2015,Northern Territory,13.6
2015,Australian Capital Territory,3.9
2016,New South Wales,5
2016,Victoria,5.7
2016,Queensland,6.3
2016,South Australia,6.8
2016,Western Australia,8
2016,Tasmania,9.2
2016,Northern Territory,6.5
2016,Australian Capital Territory,3.3
2017,New South Wales,5.2
2017,Victoria,6.3
2017,Queensland,8
2017,South Australia,7.3
2017,Western Australia,8.3
2017,Tasmania,6.8
2017,Northern Territory,10.2
2017,Australian Capital Territory,6.1
2018,New South Wales,5.5
2018,Victoria,5.3
2018,Queensland,6.7
2018,South Australia,6.2
2018,Western Australia,7.5
2018,Tasmania,5.8
2018,Northern Territory,6.3
2018,Australian Capital Territory,3.6
2019,New South Wales,5.3
2019,Victoria,5
2019,Queensland,7.4
2019,South Australia,5.7
2019,Western Australia,8.7
2019,Tasmania,13.1
2019,Northern Territory,13
2019,Australian Capital Territory,3.8
2020,New South Wales,5.2
2020,Victoria,5
2020,Queensland,6.2
2020,South Australia,6.3
2020,Western Australia,6.5
2020,Tasmania,6.1
2020,Northern Territory,15.5
2020,Australian Capital Territory,10.3
