Year,States,Rate
2011,New South Wales,12.9
2011,Victoria,14.3
2011,Queensland,19.9
2011,South Australia,20.4
2011,Western Australia,19.1
2011,Tasmania,20.2
2011,Northern Territory,30.5
2011,Australian Capital Territory,14
2012,New South Wales,14.5
2012,Victoria,13.9
2012,Queensland,21.2
2012,South Australia,18
2012,Western Australia,22.2
2012,Tasmania,22.2
2012,Northern Territory,31
2012,Australian Capital Territory,8.9
2013,New South Wales,14.1
2013,Victoria,13.5
2013,Queensland,22.7
2013,South Australia,18
2013,Western Australia,20.1
2013,Tasmania,21.5
2013,Northern Territory,18.5
2013,Australian Capital Territory,14.7
2014,New South Wales,16.5
2014,Victoria,17.2
2014,Queensland,21.4
2014,South Australia,22.3
2014,Western Australia,21.8
2014,Tasmania,21.8
2014,Northern Territory,24.6
2014,Australian Capital Territory,14.5
2015,New South Wales,16.8
2015,Victoria,17.2
2015,Queensland,24.9
2015,South Australia,19.4
2015,Western Australia,22.9
2015,Tasmania,25.7
2015,Northern Territory,27.2
2015,Australian Capital Territory,17.9
2016,New South Wales,16.1
2016,Victoria,14.6
2016,Queensland,22.4
2016,South Australia,19.5
2016,Western Australia,21
2016,Tasmania,25.5
2016,Northern Territory,30.7
2016,Australian Capital Territory,10.8
2017,New South Wales,18.1
2017,Victoria,16.1
2017,Queensland,25.4
2017,South Australia,18.7
2017,Western Australia,24.1
2017,Tasmania,24
2017,Northern Territory,27.9
2017,Australian Capital Territory,22.2
2018,New South Wales,17.8
2018,Victoria,16
2018,Queensland,25.6
2018,South Australia,17.7
2018,Western Australia,22
2018,Tasmania,23.2
2018,Northern Territory,31.3
2018,Australian Capital Territory,18.3
2019,New South Wales,17.7
2019,Victoria,16.6
2019,Queensland,23.8
2019,South Australia,22.5
2019,Western Australia,23.3
2019,Tasmania,26.4
2019,Northern Territory,28.3
2019,Australian Capital Territory,19.6
2020,New South Wales,16
2020,Victoria,15.4
2020,Queensland,23.7
2020,South Australia,20.4
2020,Western Australia,22.3
2020,Tasmania,26.6
2020,Northern Territory,25.6
2020,Australian Capital Territory,16
