Year,States,Rate
2011,New South Wales,8.4
2011,Victoria,9.2
2011,Queensland,12.9
2011,South Australia,12.9
2011,Western Australia,12.9
2011,Tasmania,14.1
2011,Northern Territory,18.5
2011,Australian Capital Territory,9.3
2012,New South Wales,9.8
2012,Victoria,9
2012,Queensland,13.9
2012,South Australia,11.7
2012,Western Australia,15
2012,Tasmania,13.7
2012,Northern Territory,19.1
2012,Australian Capital Territory,6.2
2013,New South Wales,9.5
2013,Victoria,8.9
2013,Queensland,14.6
2013,South Australia,11.9
2013,Western Australia,13.5
2013,Tasmania,14.2
2013,Northern Territory,14.2
2013,Australian Capital Territory,9.6
2014,New South Wales,10.8
2014,Victoria,10.9
2014,Queensland,14
2014,South Australia,14.4
2014,Western Australia,14.5
2014,Tasmania,12.8
2014,Northern Territory,21.8
2014,Australian Capital Territory,9.8
2015,New South Wales,10.9
2015,Victoria,11.1
2015,Queensland,16
2015,South Australia,13.3
2015,Western Australia,15.6
2015,Tasmania,16.2
2015,Northern Territory,20.3
2015,Australian Capital Territory,11.4
2016,New South Wales,10.5
2016,Victoria,10.1
2016,Queensland,14.2
2016,South Australia,13
2016,Western Australia,14.5
2016,Tasmania,17.1
2016,Northern Territory,19.2
2016,Australian Capital Territory,7.2
2017,New South Wales,11.6
2017,Victoria,11.1
2017,Queensland,16.5
2017,South Australia,12.9
2017,Western Australia,16.2
2017,Tasmania,15.3
2017,Northern Territory,20.2
2017,Australian Capital Territory,14.3
2018,New South Wales,11.5
2018,Victoria,10.5
2018,Queensland,16
2018,South Australia,11.9
2018,Western Australia,14.7
2018,Tasmania,14.5
2018,Northern Territory,19.5
2018,Australian Capital Territory,11.2
2019,New South Wales,11.4
2019,Victoria,10.7
2019,Queensland,15.4
2019,South Australia,13.9
2019,Western Australia,16
2019,Tasmania,19.5
2019,Northern Territory,21
2019,Australian Capital Territory,12.4
2020,New South Wales,10.5
2020,Victoria,10.1
2020,Queensland,14.7
2020,South Australia,13.3
2020,Western Australia,14.3
2020,Tasmania,15.9
2020,Northern Territory,20.4
2020,Australian Capital Territory,13.1
